"Mês","Ano","Ilha","Habitantes","Consumidores","Fuelóleo","Gasóleo","Hídrica","Geotérmica","Eólica","Fotovoltaica","Resíduos","Outras Renováveis","Total"
"4","2023","Flores","3627","2561","0","314404","483749","0","93176","0","0","0","891329"
"4","2023","Corvo","470","288","0","120694","0","0","0","9378","0","0","130072"
"3","2023","Santa Maria","5612","4039","0","1450296","0","0","266730","83846","0","0","1800872"
"3","2023","São Miguel","137133","66833","18659194","5530","2675029","14923677","1982430","37706","0","127512","38411078"
"3","2023","Terceira","54874","28605","9103191","18081","308194","1682636","4088473","13020","1207811","0","16421406"
"3","2023","Graciosa","4179","3366","0","128369","0","0","945108","70809","0","0","1144286"
"3","2023","São Jorge","8228","6105","0","2044203","0","0","305400","3913","0","0","2353516"
"3","2023","Pico","13635","10231","3284444","1216","0","0","660944","553","0","0","3947157"
"3","2023","Faial","14443","8419","3334890","0","74278","0","613318","4773","0","0","4027259"
"3","2023","Flores","3627","2559","0","212542","648381","0","50615","82","0","0","911620"
"3","2023","Corvo","470","287","0","138210","0","0","0","7083","0","0","145293"
"2","2023","Santa Maria","5612","4036","0","1463941","0","0","142231","67690","0","0","1673862"
"2","2023","São Miguel","137133","66756","17368881","10061","2195446","13738407","1201010","30585","0","149592","34693982"
"2","2023","Terceira","54874","28587","9472794","52299","58101","1555951","2508373","9908","1259664","0","14917090"
"2","2023","Graciosa","4179","3364","0","421372","0","0","567497","72153","0","0","1061022"
"2","2023","São Jorge","8228","6101","0","1851497","0","0","280836","4240","0","0","2136573"
"2","2023","Pico","13635","10230","3120587","1296","0","0","463769","453","0","0","3586105"
"2","2023","Faial","14443","8414","3121425","421","15967","0","473101","4405","0","0","3615319"
"2","2023","Flores","3627","2558","0","300773","478520","0","83795","212","0","0","863300"
"2","2023","Corvo","470","287","0","121671","0","0","0","5982","0","0","127653"
"1","2023","Santa Maria","5612","4032","0","1623433","0","0","202418","54476","0","0","1880327"
"1","2023","São Miguel","137133","66679","19286255","6182","2483624","15149300","1700934","22589","0","150215","38799099"
"1","2023","Terceira","54874","28568","10838442","29414","86917","1663977","2933486","7182","1351539","0","16910957"
"1","2023","Graciosa","4179","3362","0","356741","0","0","747449","64378","0","0","1168568"
"1","2023","São Jorge","8228","6097","0","2153573","0","0","294500","2663","0","0","2450736"
"1","2023","Pico","13635","10227","3434957","216","0","0","628475","363","0","0","4064011"
"1","2023","Faial","14443","8408","3532504","500","3075","0","563342","3760","0","0","4103181"
"1","2023","Flores","3627","2556","0","370682","538180","0","63600","222","0","0","972684"
"1","2023","Corvo","470","287","0","136095","0","0","0","4951","0","0","141046"
"12","2022","Santa Maria","5612","4034","0","1481249","0","0","364585","49440","0","0","1895274"
"12","2022","São Miguel","137133","66704","21936649","3215","2444714","12048202","2158945","18777","0","80857","38691359"
"12","2022","Terceira","54874","28536","10245029","13908","0","1958434","3688579","5153","949649","0","16860752"
"12","2022","Graciosa","4179","3361","0","142050","0","0","975936","34350","0","0","1152336"
"12","2022","São Jorge","8228","6106","0","2189876","0","0","268906","2360","0","0","2461142"
"12","2022","Pico","13635","10231","3480621","251","0","0","558932","220","0","0","4040024"
"12","2022","Faial","14443","8414","3449161","3950","37350","0","627525","1469","0","0","4119455"
"12","2022","Flores","3627","2560","0","281927","630837","0","55436","109","0","0","968309"
"12","2022","Corvo","470","289","0","134742","0","0","0","3847","0","0","138589"
"11","2022","Santa Maria","5612","4035","0","1612664","0","0","162857","55519","0","0","1831040"
"11","2022","São Miguel","137133","66657","20977157","10050","2087925","12336608","1524237","18854","0","104287","37059118"
"11","2022","Terceira","54874","28526","11254787","12546","0","1916309","2724267","17568","0","0","15925477"
"11","2022","Graciosa","4179","3365","0","236046","0","0","802411","48412","0","0","1086869"
"11","2022","São Jorge","8228","6103","0","2144246","0","0","238749","2492","0","0","2385487"
"11","2022","Pico","13635","10222","3323666","4048","0","0","461879","210","0","0","3789803"
